lat,lon,number,alfa,zipcode,street
11.1258038738599,46.0384255604388,4,4,38123,
11.1352742761045,46.0539734971077,101,101,38122,
11.1251450165258,46.0535672621879,46,46/A,38123,Via Antonio Gramsci
11.1363143019353,46.0627887491022,10,10,38122,
11.126024700547,46.0564461996177,22,22,38122,
11.1192645125392,46.0599223809797,1,1,38122,Via fratelli Perini
11.1359105131297,46.0617807770361,9,9,38122,
11.1467344763048,46.0752138268721,21,21/A,38121,
11.1399449465559,46.0777789405135,13,13,38121,Via delle Marnighe
11.146687625455,46.0740338704028,16,16,38121,
11.157617261273,46.0600118942302,32,32,38123,
11.1661331546328,46.0711750050032,25,25,38123,Via dei Ronchi
11.1163293143483,46.1365514612513,27,27,38121,
11.1341008197787,46.1366326932756,19,19,38121,Via dei Fragari
11.1268933244384,46.1303628344003,1,1,38121,
11.1426905643064,46.1195101834649,3,3,38121,Via di Pralungo
11.128917685523,46.0628797476819,10,10,38122,Via Cesare Abba
11.1289679297393,46.062938656686,10,10,38122,Via Cesare Abba
11.1288550114924,46.0629455365953,10,10,38122,Via Cesare Abba
11.1288960935332,46.0629435770348,10,10,38122,Via Cesare Abba
11.1293626528222,46.0631246888212,11,11,38122,Via Cesare Abba
11.1293980282286,46.0630189776134,11,11,38122,Via Cesare Abba
11.12917061552,46.063036348748,11,11,38122,Via Cesare Abba
11.1291641301344,46.0627786154694,12,12,38122,Via Cesare Abba
11.1291505115495,46.0629149590585,12,12,38122,Via Cesare Abba
11.1295155672628,46.0630430490197,13,13,38122,Via Cesare Abba
11.1294398601038,46.0629919347233,13,13,38122,Via Cesare Abba
11.1294166649681,46.0628347896285,14,14,38122,Via Cesare Abba
11.1293956111368,46.0629115834356,14,14,38122,Via Cesare Abba
11.1277093235312,46.0629739983992,2,2,38122,Via Cesare Abba
11.1275683278176,46.0630163618306,2,2/1,38122,Via Cesare Abba
11.1278739739962,46.062808628382,4,4,38122,Via Cesare Abba
11.1279518019527,46.0630041502532,4,4/1,38122,Via Cesare Abba
11.1278785793887,46.063009391206,4,4/2,38122,Via Cesare Abba
11.1280248727624,46.0629967303017,4,4/3,38122,Via Cesare Abba
11.1283362463028,46.062922973118,6,6,38122,Via Cesare Abba
11.1282680162325,46.0630656923043,7,7,38122,Via Cesare Abba
11.1288123075508,46.0629499138377,8,8,38122,Via Cesare Abba
11.1286651021931,46.062867899894,8,8,38122,Via Cesare Abba
11.1286070348976,46.0629632899034,8,8,38122,Via Cesare Abba
11.1160454782948,46.0812371243468,1,1,38121,Via Antonio Abondi
11.1151311771106,46.0816006052525,13,13,38121,Via Antonio Abondi
11.1152433037064,46.0814624807985,13,13,38121,Via Antonio Abondi
11.1152479574138,46.0813531275125,13,13/1,38121,Via Antonio Abondi
11.1153493393179,46.081177321799,15,15,38121,Via Antonio Abondi
11.1154010356174,46.0810613501858,15,15,38121,Via Antonio Abondi
11.1153413237486,46.0811308135686,17,17,38121,Via Antonio Abondi
11.1151939315144,46.0810684409131,19,19,38121,Via Antonio Abondi
11.1157184570786,46.0810033888633,2,2,38121,Via Antonio Abondi
11.115885086225,46.0810795099828,2,2,38121,Via Antonio Abondi
11.1151639127934,46.0810581464489,21,21,38121,Via Antonio Abondi
11.1151307778566,46.0810479096763,23,23,38121,Via Antonio Abondi
11.1150376404794,46.0810995462233,25,25,38121,Via Antonio Abondi
11.1152312846676,46.0810666641152,25,25,38121,Via Antonio Abondi
11.1150204357773,46.0811389262284,27,27,38121,Via Antonio Abondi
11.1149976205174,46.0811946857079,29,29,38121,Via Antonio Abondi
11.1159274583684,46.081208929712,3,3,38121,Via Antonio Abondi
11.114956598695,46.081345180721,31,31,38121,Via Antonio Abondi
11.1147505057823,46.0814406550148,33,33,38121,Via Antonio Abondi
11.114556275816,46.0815913238051,33,33,38121,Via Antonio Abondi
11.1147340850985,46.0812755181773,35,35,38121,Via Antonio Abondi
11.114742381973,46.0813451859265,35,35/A,38121,Via Antonio Abondi
11.1147261704638,46.0813745795574,35,35/B,38121,Via Antonio Abondi
11.1148232381612,46.0810995871891,37,37,38121,Via Antonio Abondi
11.1148617862225,46.0811343535965,37,37/A,38121,Via Antonio Abondi
11.114949745358,46.0809812259638,39,39,38121,Via Antonio Abondi
11.1147773243201,46.0810855354834,39,39,38121,Via Antonio Abondi
11.1146392740612,46.0810753179293,41,41,38121,Via Antonio Abondi
11.1146034282439,46.0811245889249,43,43,38121,Via Antonio Abondi
11.1145490862419,46.0812235193741,45,45,38121,Via Antonio Abondi
11.1145270182169,46.0812597625607,47,47,38121,Via Antonio Abondi
11.1144911369513,46.0813214521591,49,49,38121,Via Antonio Abondi
11.1158522073459,46.0812797662782,5,5,38121,Via Antonio Abondi
11.1157223626131,46.0813092975644,7,7,38121,Via Antonio Abondi
11.1155982997198,46.0812454082392,9,9,38121,Via Antonio Abondi
11.1156667200208,46.0811182763377,9,9,38121,Via Antonio Abondi
11.1220645583501,46.074738270094,1,1,38122,Via Jacopo Aconcio
11.1225757114702,46.0745702180369,11,11,38122,Via Jacopo Aconcio
11.1226296189915,46.0745501897387,13,13,38122,Via Jacopo Aconcio
11.122689038809,46.0745313273972,15,15,38122,Via Jacopo Aconcio
11.1227520524206,46.0745111297936,17,17,38122,Via Jacopo Aconcio
11.1228132933939,46.0744922335397,19,19,38122,Via Jacopo Aconcio
11.1222928552292,46.0742195608805,2,2,38122,Via Jacopo Aconcio
11.1228672980259,46.0744747401818,21,21,38122,Via Jacopo Aconcio
11.1229807007213,46.0744853166502,23,23,38122,Via Jacopo Aconcio
11.1232901578497,46.0743806265264,25,25,38122,Via Jacopo Aconcio
11.1221400779951,46.0747114983178,3,3,38122,Via Jacopo Aconcio
11.1223453165463,46.0746455316215,5,5,38122,Via Jacopo Aconcio
11.1225879344811,46.0743533336713,6,6,38122,Via Jacopo Aconcio
11.1224317633477,46.0746185566102,7,7,38122,Via Jacopo Aconcio
11.1225175292281,46.0745738361471,9,9,38122,Via Jacopo Aconcio
11.1308090325511,46.0609336951702,1,1,38122,
11.1306494173724,46.0607359277958,1,1,38122,
11.1307284527204,46.060871691598,1,1,38122,
11.1322051881713,46.0597287764934,10,10,38122,
11.1322707525532,46.0598045203658,10,10,38122,
11.1330914716328,46.0597718547655,11,11,38122,
11.133000351364,46.059952377582,11,11,38122,
11.1328708188731,46.059782478194,11,11,38122,
11.1334879144876,46.0598539882017,13,13,38122,
11.1335542168842,46.05974865899,13,13,38122,
11.1336367969645,46.0597432446208,15,15,38122,
11.1337123648286,46.0598458742096,15,15,38122,
11.1337051622657,46.0597397999117,15,15,38122,
11.1343631399082,46.0597156440028,17,17,38122,
11.1341041086371,46.0597217209569,17,17,38122,
11.1341923529262,46.0598184820266,17,17,38122,
11.1309788382759,46.06077901275,1,1/A,38122,
11.1309018448058,46.0605800333959,1,1/A,38122,
11.1309901145916,46.0605274495807,1,1/B,38122,
11.131172792972,46.0604199996633,1,1/B,38122,
11.1310839342398,46.060626912055,1,1/B,38122,
11.1306878377716,46.0603791947321,2,2,38122,
11.1333551207739,46.0596650566093,20,20,38122,
11.1335533592546,46.0595172129498,22,22,38122,
11.1335847337755,46.0594830301637,24,24,38122,
11.1337539345501,46.0594300160633,24,24,38122,
11.1338817770726,46.0596367940403,28,28,38122,
11.1339774449524,46.0595743157698,28,28,38122,
11.1339927624717,46.0596305344231,28,28,38122,
11.1314995206534,46.0602329140101,3,3,38122,
11.1314921048382,46.0603323346419,3,3,38122,
11.1340339094949,46.0594791865588,30,30,38122,
11.1340364033793,46.0595287798301,30,30,38122,
11.1341054567773,46.0596239445396,30,30,38122,
11.1341614601977,46.0596228980348,32,32,38122,
11.1342920095564,46.0596172072178,34,34,38122,
11.1342547057792,46.0594976065216,34,34,38122,
11.1344645196599,46.0596096483036,36,36,38122,
11.1345484412294,46.0596059123602,38,38,38122,
11.1344883764418,46.0595420090858,38,38,38122,
11.1311305508134,46.0603134953248,4,4,38122,
11.1314299287258,46.0601236688661,4,4,38122,
11.1312365961848,46.0601565383145,4,4,38122,
11.1346447662001,46.059600860769,40,40,38122,
11.1347334690036,46.0594789050577,42,42,38122,
11.1347286041922,46.0595949587278,42,42,38122,
11.1349679652797,46.0595850657834,44,44,38122,
11.1350675368003,46.0595431051451,46,46,38122,
11.1351189149391,46.059543228435,48,48,38122,
11.1318692354522,46.0600504437674,5,5,38122,
11.1318383230353,46.0602179203933,5,5,38122,
11.1316874225231,46.0598164931104,6,6,38122,
11.1315872847121,46.0600459524624,6,6,38122,
11.1320663806961,46.0601974068587,7,7,38122,
11.131936516735,46.0600188425349,7,7,38122,
11.1324099991117,46.0598881956665,7,7/A,38122,
11.1323679842769,46.0600267839791,7,7/A,38122,
11.1321658438962,46.0598292379878,8,8,38122,
11.1321851459029,46.0596980376611,8,8,38122,
11.132578433359,46.0599515863754,9,9,38122,
11.1325747197488,46.0598249640859,9,9,38122,
11.1221215688209,46.0667232995098,1,1,38122,
11.1221215688209,46.0667232995098,1,1,38122,
11.1212687181003,46.0665906393256,10,10,38122,
11.1212687181003,46.0665906393256,10,10,38122,
11.1211767593475,46.0666327297066,11,11,38122,
11.1211767593475,46.0666327297066,11,11,38122,
11.1211097346029,46.0666417904733,12,12,38122,
11.1211097346029,46.0666417904733,12,12,38122,
11.1209515473259,46.0666886674895,13,13,38122,
11.1209515473259,46.0666886674895,13,13,38122,
11.1209859786739,46.0667478783877,14,14,38122,
11.1209859786739,46.0667478783877,14,14,38122,
11.1220615754053,46.0667205062097,2,2,38122,
